Dataset,K,Repetition,Seed,Model,TunedParameters,DataBudgetProtocol,Method,Epsilon,Alpha,Accuracy,Unfairness,OptimizerSuccess,OptimizerStatus,OptimizerMessage,OptimizerIterations,PostprocessRuntimeSeconds,Convergence,SolverResidual,ProjectionRho,ProjectionMaxIterRequested,ProjectionDivergence,ProjectionMethod,TransportCalibrationDPGap,TransportObjective,TransportMIPSolver,TransportQPSolver
DRUG,4,0,777,reglog,{},paper,FairProjection,,0.0,,,False,failed,RuntimeError('`tf.data.Dataset` only supports Python-style iteration in eager mode or within tf.function.'),,,not_completed,,2.0,1.0,cross-entropy,tf,,,,
DRUG,4,0,777,reglog,{},paper,FairProjection,,0.1,,,False,failed,RuntimeError('`tf.data.Dataset` only supports Python-style iteration in eager mode or within tf.function.'),,,not_completed,,2.0,1.0,cross-entropy,tf,,,,
DRUG,4,0,777,reglog,{},paper,FairProjection,,0.2,,,False,failed,RuntimeError('`tf.data.Dataset` only supports Python-style iteration in eager mode or within tf.function.'),,,not_completed,,2.0,1.0,cross-entropy,tf,,,,
DRUG,4,0,777,reglog,{},paper,FairProjection,,0.5,,,False,failed,RuntimeError('`tf.data.Dataset` only supports Python-style iteration in eager mode or within tf.function.'),,,not_completed,,2.0,1.0,cross-entropy,tf,,,,
DRUG,4,0,777,reglog,{},paper,FairProjection,,0.75,,,False,failed,RuntimeError('`tf.data.Dataset` only supports Python-style iteration in eager mode or within tf.function.'),,,not_completed,,2.0,1.0,cross-entropy,tf,,,,
DRUG,4,0,777,RF,"{'n_estimators': np.int64(189), 'min_samples_split': np.int64(10), 'min_samples_leaf': np.int64(5), 'max_depth': np.int64(6)}",paper,FairProjection,,0.0,,,False,failed,RuntimeError('`tf.data.Dataset` only supports Python-style iteration in eager mode or within tf.function.'),,,not_completed,,2.0,1.0,cross-entropy,tf,,,,
DRUG,4,0,777,RF,"{'n_estimators': np.int64(189), 'min_samples_split': np.int64(10), 'min_samples_leaf': np.int64(5), 'max_depth': np.int64(6)}",paper,FairProjection,,0.1,,,False,failed,RuntimeError('`tf.data.Dataset` only supports Python-style iteration in eager mode or within tf.function.'),,,not_completed,,2.0,1.0,cross-entropy,tf,,,,
DRUG,4,0,777,RF,"{'n_estimators': np.int64(189), 'min_samples_split': np.int64(10), 'min_samples_leaf': np.int64(5), 'max_depth': np.int64(6)}",paper,FairProjection,,0.2,,,False,failed,RuntimeError('`tf.data.Dataset` only supports Python-style iteration in eager mode or within tf.function.'),,,not_completed,,2.0,1.0,cross-entropy,tf,,,,
DRUG,4,0,777,RF,"{'n_estimators': np.int64(189), 'min_samples_split': np.int64(10), 'min_samples_leaf': np.int64(5), 'max_depth': np.int64(6)}",paper,FairProjection,,0.5,,,False,failed,RuntimeError('`tf.data.Dataset` only supports Python-style iteration in eager mode or within tf.function.'),,,not_completed,,2.0,1.0,cross-entropy,tf,,,,
DRUG,4,0,777,RF,"{'n_estimators': np.int64(189), 'min_samples_split': np.int64(10), 'min_samples_leaf': np.int64(5), 'max_depth': np.int64(6)}",paper,FairProjection,,0.75,,,False,failed,RuntimeError('`tf.data.Dataset` only supports Python-style iteration in eager mode or within tf.function.'),,,not_completed,,2.0,1.0,cross-entropy,tf,,,,
DRUG,4,0,777,GBM,"{'reg_lambda': 50, 'reg_alpha': 10, 'num_leaves': np.int64(37), 'n_estimators': np.int64(98), 'min_child_samples': np.int64(61), 'max_depth': np.int64(14)}",paper,FairProjection,,0.0,,,False,failed,RuntimeError('`tf.data.Dataset` only supports Python-style iteration in eager mode or within tf.function.'),,,not_completed,,2.0,1.0,cross-entropy,tf,,,,
DRUG,4,0,777,GBM,"{'reg_lambda': 50, 'reg_alpha': 10, 'num_leaves': np.int64(37), 'n_estimators': np.int64(98), 'min_child_samples': np.int64(61), 'max_depth': np.int64(14)}",paper,FairProjection,,0.1,,,False,failed,RuntimeError('`tf.data.Dataset` only supports Python-style iteration in eager mode or within tf.function.'),,,not_completed,,2.0,1.0,cross-entropy,tf,,,,
DRUG,4,0,777,GBM,"{'reg_lambda': 50, 'reg_alpha': 10, 'num_leaves': np.int64(37), 'n_estimators': np.int64(98), 'min_child_samples': np.int64(61), 'max_depth': np.int64(14)}",paper,FairProjection,,0.2,,,False,failed,RuntimeError('`tf.data.Dataset` only supports Python-style iteration in eager mode or within tf.function.'),,,not_completed,,2.0,1.0,cross-entropy,tf,,,,
DRUG,4,0,777,GBM,"{'reg_lambda': 50, 'reg_alpha': 10, 'num_leaves': np.int64(37), 'n_estimators': np.int64(98), 'min_child_samples': np.int64(61), 'max_depth': np.int64(14)}",paper,FairProjection,,0.5,,,False,failed,RuntimeError('`tf.data.Dataset` only supports Python-style iteration in eager mode or within tf.function.'),,,not_completed,,2.0,1.0,cross-entropy,tf,,,,
